c/n,f/f,testreg,regi,operator,d/d,type,St
306.0,03.05.19,F-WZHK,B-LXL,Cathay Pacific,29.05.19,350-1041,C
307.0,15.05.19,F-WZGQ,B-308E,China Eastern AL,07.06.19,350-941,C
308.0,12.06.19,"F-WZFU, F-WXAO",M-ABOE,Adhan Aircraft Leasing,14.04.21,350-941,
,,F-WXAO,EI-IFA,ITA AW,11.05.22,,C
309.0,17.04.19,F-WZNR,9V-SHG,Singapore AL,18.05.19,350-941,C
310.0,30.04.19,F-WZFA,ET-AWN,Ethiopian AL,24.05.19,350-941,C
311.0,13.05.19,F-WZNJ,B-308M,Air China,29.05.19,350-941,C
312.0,07.05.19,F-WZNK,EC-NDR,Iberia,29.05.19,350-941,C
313.0,03.10.19,F-WZFI,A7-AQC,Qatar AW lsd,12.12.19,350-941,
,,,PR-XTL,LATAM AL Brazil,07.20,,
,,,N576DZ,Delta AL,10.03.22,,C
314.0,19.06.19,F-WZGA,D-AIXO,Lufthansa,17.07.19,350-941,C
315.0,14.05.19,"F-WZFD, F-WXAB",A6-XWA,Etihad AW,03.07.21,350-1041,C
316.0,16.04.19,F-WZNL,9V-SHH,Singapore AL,08.06.19,350-941,C
317.0,,,,Lufthansa,,350-941,
318.0,03.06.19,F-WZGP,B-308T,China Southern AL,28.06.19,350-941,C
319.0,25.06.19,F-WZNY,G-VPRD,Virgin Atlantic AW,23.09.19,350-1041,C
320.0,19.11.19,F-WZFW,DQ-FAJ,Fiji AW,14.12.19,350-941,C
321.0,16.05.19,F-WZHF,JA01XJ,Japan AL,13.06.19,350-942,C
322.0,12.06.19,F-WZFL,9V-SHI,Singapore AL,28.06.19,350-941,C
323.0,07.08.19,"F-WZFV, F-WXAP",,ALAFCO,26.09.19,350-941,
,,,EI-IFC,ITA AW,23.05.22,,C
324.0,18.06.19,F-WZGL,B-LQA,Cathay Pacific AL,09.07.19,350-941,C
325.0,23.05.19,F-WWIW,F-HREY,French Bee,12.06.19,350-941,C
326.0,02.07.19,F-WZFH,G-XWBA,British AW,25.07.19,350-1041,C
327.0,08.07.19,F-WZNO,F-HTRE,Air Caraibes,24.07.19,350-941,C
328.0,19.07.19,F-WZGB,9V-SHJ,Singapore AL,09.08.19,350-941,C
329.0,26.06.19,F-WZGX,9V-SMV,Singapore AL,26.07.19,350-941,C
330.0,05.06.19,"F-WZFO, F-WXAC",A6-XWC,Etihad AW,23.07.21,350-941,C
331.0,27.08.19,F-WZFN,F-HTYA,Air France,27.09.19,350-941,C
332.0,05.09.19,F-WZFC,A7-ANK,Qatar AW,04.12.19,350-1041,C
333.0,08.07.19,F-WZFX,JA02XJ,Japan AL,30.08.19,350-942,C
334.0,05.07.19,F-WZNB,B-309W,China Southern AL,18.10.19,350-941,C
335.0,23.09.19,F-WZGD,HL8362,Asiana AL,15.10.19,350-941,C
336.0,23.07.19,F-WZFM,G-VJAM,Virgin Atlantic AW,27.09.19,350-1041,C
337.0,22.07.19,F-WWBW,B-LQB,Cathay Pacific AL,08.08.19,350-941,C
338.0,26.09.19,"F-WZFG, F-WXAQ",,ALAFCO,,350-941,
,,,EI-IFD,ITA AW,17.06.22,,C
339.0,11.09.19,F-WZNX,B-30A9,China Southern AL,22.10.19,350-941,C
340.0,21.08.19,F-WZFS,G-XWBB,British AW,19.09.19,350-1041,C
341.0,30.07.19,F-WZND,9V-SMW,Singapore AL,13.09.19,350-941,C
342.0,06.08.19,"F-WZNM, F-WXAD",A6-XWD,Etihad AW,24.08.21,350-1041,C
343.0,19.08.19,F-WZGE,JA03XJ,Japan AL,20.09.19,350-942,C
344.0,16.08.19,F-WZGV,9V-SMY,Singapore AL,13.09.19,350-941,C
345.0,06.09.19,F-WZNF,ET-AWO,Ethiopian AL,04.10.19,350-941,C
346.0,01.10.19,F-WZFB,A7-ANL,Qatar AW,04.12.19,350-1041,C
347.0,10.10.19,F-WZNE,B-30AL,China Southern AL,09.11.19,350-941,C
348.0,11.10.19,F-WZNA,9V-SMZ,Singapore AL,30.10.19,350-941,C
349.0,05.10.19,F-WZFQ,F-HTYB,Air France,29.10.19,350-941,C
350.0,15.10.19,F-WZNN,A7-ANM,Qatar AW,07.12.19,350-1041,C
351.0,26.08.19,F-WZNS,B-30DM,Hainan AL,16.01.20,350-941,
,,OE-IBP,,ITA AW,due24,,STD
352.0,06.09.19,F-WZNP,JA04XJ,Japan AL,26.10.19,350-942,C
353.0,,,,Qatar AW,,350-941,
354.0,11.10.19,F-WZHG,ZS-SDE,South African AW lsd,18.11.19,350-941,
,,,3B-NCE,Air Mauritius ret,10.20,,C
355.0,17.09.19,F-WZGU,B-30DP,Hainan AL,17.01.20,350-941,
,,OE-IBV,,ITA AW,due24,,STD
356.0,22.11.19,F-WZNQ,A7-ANN,Qatar AW,20.12.19,350-1041,C
357.0,20.09.19,F-WZHC,B-30C0,China Southern AL,14.11.19,350-941,C
358.0,06.11.19,F-WZHJ,SE-RSA,SAS Scandinavian AL,29.11.19,350-941,C
359.0,12.11.19,F-WZGO,F-HTYC,Air France,07.12.19,350-941,C
360.0,,,,SAS Scandinavian AL,,350-941,
361.0,,,,Qatar AW,,350-941,
362.0,06.11.19,F-WZFK,G-XWBC,British AW,26.11.19,350-1041,C
363.0,22.11.19,F-WZGW,PR-XTM,LATAM AL,14.12.19,350-941,
,,N264AR,,,,,STD
364.0,07.11.19,F-WZNT,9V-SJA,Singapore AL,22.11.19,350-941,C
365.0,14.11.19,F-WZGF,ZS-SDF,South African AW lsd,02.12.19,350-941,
,,,3B-NCF,Air Mauritius ret,11.20,,C
366.0,13.11.19,F-WZGM,EC-NGT,Iberia,27.11.19,350-941,C
367.0,,,,LATAM AL,,350-941,
368.0,11.02.20,F-WWDW,A7-ANO,Qatar AW,22.10.20,350-1041,C
369.0,07.11.19,F-WZGZ,9V-SHK,Singapore AL,29.11.19,350-941,C
370.0,05.11.19,F-WZFJ,JA05XJ,Japan AL,11.12.19,350-942,C
371.0,21.11.19,F-WZGK,9V-SHL,Singapore AL,06.12.19,350-941,C
372.0,28.01.20,F-WZFP,A7-ANP,Qatar AW,27.02.20,350-1041,C
373.0,29.11.19,F-WZHI,B-30CW,China Eastern AL,19.12.19,350-941,C
374.0,11.12.19,F-WZNR,G-XWBD,British AW,23.12.19,350-1041,C
375.0,28.11.19,F-WZHD,ET-AWP,Ethiopian AL,13.12.19,350-941,C
376.0,29.11.19,F-WZNG,B-30CE,China Southern AL,28.12.19,350-941,C
377.0,,,,Ethiopian AL,,350-941,
378.0,14.01.20,F-WZHH,SE-RSB,SAS Scandinavian AL,07.02.20,350-941,C
379.0,07.01.20,F-WZFZ,9V-SHM,Singapore AL,22.01.20,350-941,C
380.0,09.07.20,F-WZGQ,B-LXM,Cathay Pacific AL,25.09.20,350-1041,C
381.0,14.01.20,F-WZNJ,F-HTYD,Air France,12.02.20,350-941,C
382.0,04.03.20,F-WZHF,A7-ANQ,Qatar AW,22.10.20,350-1041,C
383.0,03.02.20,F-WZGT,VQ-BFY,Aeroflot,29.02.20,350-941,
,,,RA-73157,Aeroflot rr,12.03.22,,C
384.0,,,,Hong Kong AL,,350-941,
385.0,14.01.20,F-WZHK,9V-SHN,Singapore AL,31.01.20,350-941,C
386.0,16.01.20,F-WZGP,G-XWBE,British AW,12.02.20,350-1041,C
387.0,10.01.20,F-WZFA,HL8381,Asiana AL,03.02.20,350-941,C
388.0,23.04.20,"F-WZFL, F-WXAE",A6-XWE,Etihad AW,20.09.21,350-1041,C
389.0,11.02.20,F-WZNK,HL8382,Asiana AL,24.11.20,350-941,C
390.0,31.01.20,F-WZGC,D-AIXP,Lufthansa,29.02.20,350-941,C
391.0,13.02.20,F-WZNL,SE-RSC,SAS Scandinavian AL,11.03.20,350-941,C
392.0,19.12.19,F-WWIW,OH-LWP,Finnair,10.02.20,350-941,C
393.0,24.06.21,F-WZHE,B-LQC,Cathay Pacific AL,01.09.21,350-941,C
394.0,06.02.20,F-WWTW,9V-SHO,Singapore AL,21.02.20,350-941,C
395.0,05.03.20,F-WZGA,N514DN,Delta AL,15.09.20,350-941,C
396.0,15.01.20,F-WZFD,B-LQD,Cathay Pacific AL,01.09.20,350-941,C
397.0,17.01.20,F-WZGL,EC-NIG,Iberia,05.03.20,350-941,C
398.0,10.02.20,F-WZFH,B-30EA,China Southern AL,28.11.20,350-941,C
399.0,11.05.20,F-WZGX,A7-ANR,Qatar AW,22.10.20,350-1041,C
400.0,24.02.20,F-WWAW,EC-NGY,Evelop AL,31.03.20,350-941,C
401.0,07.02.20,F-WZFO,B-LQE,Cathay Pacific AL,11.09.20,350-941,C
402.0,03.04.20,F-WZGB,G-XWBF,British AW,15.05.20,350-1041,C
403.0,13.03.20,F-WZGN,TC-LGA,THY Turkish AL,22.10.20,350-941,C
404.0,25.06.20,F-WZNO,N515DN,Delta AL,16.09.20,350-941,C
405.0,11.03.20,"F-WWBW, F-WXAF",JA06XJ,Japan AL,20.04.20,350-941,C
406.0,16.03.20,F-WZNC,EC-NIS,Iberia,05.06.20,350-941,C
407.0,10.04.20,F-WZFX,F-HTYE,Air France,06.05.20,350-941,C
408.0,18.05.20,F-WZNU,B-30FM,China Eastern AL,19.12.20,350-941,C
409.0,01.09.21,F-WZND,A7-AOA,Qatar AW ntu,,350-1041,STD
410.0,18.05.20,F-WZGV,OH-LWR,Finnair,01.09.20,350-941,C
411.0,15.07.20,F-WZFS,B-30F0,China Southern AL,01.12.20,350-941,C
412.0,07.05.20,F-WZGS,ET-AYB,Ethiopian AL,07.11.20,350-941,C
413.0,23.07.20,F-WZGE,B-LQF,Cathay Pacific AL,14.10.20,350-941,C
414.0,04.05.20,F-WZFN,VQ-BFZ,Aeroflot,27.05.21,350-941,
,,,RA-73155,Aeroflot rr,21.03.22,,C
415.0,18.05.20,F-WZNY,G-VRNB,Virgin Atlantic AW,17.09.20,350-1041,C
416.0,21.02.20,"F-WZFF, F-WJKM, D-AGAF",10+03,German Air Force,20.08.20,350-941,C
417.0,29.03.21,F-WZGY,B-30F9,China Southern AL,23.04.21,350-941,C
418.0,09.06.20,F-WZFM,SE-RSD,SAS Scandinavian AL,30.06.20,350-941,C
419.0,30.04.20,F-WZNM,EC-NJM,Iberia,19.09.20,350-941,C
420.0,17.08.20,F-WZNF,A7-ANS,Qatar AW,31.12.20,350-1041,C
421.0,04.06.20,F-WZGD,TC-LGB,THY Turkish AL,23.10.20,350-941,C
422.0,03.06.20,F-WZNB,F-HTYF,Air France,30.06.20,350-941,C
423.0,22.09.20,F-WZNX,B-321J,China Eastern AL,18.04.21,350-941,C
424.0,17.05.21,F-WZNP,B-LXN,Cathay Pacific AL,25.06.21,350-1041,C
425.0,26.10.20,F-WZFQ,HL8383,Asiana AL,29.12.20,350-941,C
426.0,03.07.20,F-WZNA,G-VTEA,Virgin Atlantic AW,04.12.20,350-1041,C
427.0,29.05.20,F-WZHG,D-AIXQ,Lufthansa,30.10.20,350-941,C
428.0,26.06.20,F-WZFR,VP-BXA,Aeroflot,27.05.21,350-941,
,,,RA-73154,Aeroflot rr,04.22,,C
429.0,18.12.20,F-WZNE,VP-BXD,Aeroflot,28.06.21,350-941,
,,,RA-73153,Aeroflot rr,21.03.22,,C
430.0,18.11.21,F-WZHC,A7-ANU,Qatar AW ntu,,350-1041,STD
431.0,27.08.20,F-WZNT,ET-AYA,Ethiopian AL,07.11.20,350-941,C
432.0,07.08.20,F-WZGM,G-XWBG,British AW,02.10.20,350-1041,C
433.0,11.06.20,F-WZFK,F-HREN,French Bee,12.08.20,350-941,C
434.0,08.02.21,F-WZHJ,B-LXO,Cathay Pacific AL,05.03.21,350-1041,C
435.0,28.07.20,F-WZGZ,TC-LGC,THY Turkish AL,28.01.21,350-941,C
436.0,14.08.20,F-WZGF,9V-SHP,Singapore AL,15.10.20,350-941,C
437.0,05.03.21,F-WZGO,VP-BXC,Aeroflot,15.06.21,350-941,
,,,RA-73152,Aeroflot rr,21.03.22,,C
438.0,27.01.22,F-WLXV,A7-AOB,Qatar AW ntu,,350-1041,STD
439.0,18.08.20,F-WZFC,9V-SHQ,Singapore AL,09.10.20,350-941,C
440.0,29.04.22,F-WZFB,A7-AOC,Qatar AW ntu,,350-1041,STD
441.0,27.05.21,F-WZFW,VP-BXP,Aeroflot,29.06.21,350-941,
,,,RA-73151,Aeroflot rr,21.03.22,,C
442.0,02.02.21,F-WZGK,TC-LGD,THY Turkish AL,12.03.21,350-941,C
443.0,31.07.20,"F-WZNN, F-WJKP",D-AKAY,K5 Aviation,11.12.20,350-941,C
444.0,09.06.22,F-WZFJ,A7-AOD,Qatar AW ntu,,350-1041,STD
445.0,11.09.20,F-WZHI,9V-SHR,Singapore AL,20.10.20,350-941,C
446.0,22.10.20,F-WZHD,G-XWBH,British AW,14.12.20,350-1041,C
447.0,22.09.20,F-WZGW,9V-SHS,Singapore AL,20.10.20,350-941,C
448.0,23.04.21,F-WZHI,EC-NOI,World2fly,07.06.21,350-941,C
449.0,28.01.21,F-WZNQ,B-320S,China Southern AL,11.06.21,350-941,C
450.0,,F-WZNR,A7-AOE,Qatar AW ntu,,350-1041,
451.0,08.10.20,F-WZNG,JA07XJ,Japan AL,02.12.20,350-941,C
452.0,14.12.20,"F-WZNS, B-005S",B-323H,China Eastern AL,20.07.21,350-941,C
453.0,30.10.20,F-WZGU,EC-NLP,Iberia,18.03.22,350-941,C
454.0,30.03.21,F-WZFZ,TC-LGE,THY Turkish AL,05.05.21,350-941,C
455.0,13.11.20,F-WZHK,B-321M,Air China,17.12.20,350-941,C
456.0,,F-WZFA,,Qatar AW ntu,,350-1041,
457.0,26.10.21,F-WZNJ,TC-LGI,THY Turkish AL,08.07.22,350-941,C
458.0,13.11.20,F-WZHH,B-321N,Air China,17.12.20,350-941,C
459.0,19.01.21,F-WWIW,EC-NMZ,Iberia,30.03.22,350-941,C
460.0,01.06.21,F-WZNY,9V-SJE,Singapore AL,30.12.21,350-941,C
461.0,,F-WZGP,,Qatar AW ntu,,350-1041,
462.0,07.06.21,F-WZGT,B-324R,China Southern AL,28.12.21,350-941,C
463.0,15.11.21,F-WZFP,TC-LGJ,THY Turkish AL,07.07.22,350-941,C
464.0,21.12.20,F-WZGC,9V-SHT,Singapore AL,02.04.21,350-941,C
465.0,08.01.21,F-WZNL,B-322H,Air China,27.02.21,350-941,C
466.0,21.01.22,F-WWBW,VP-BYF,Aeroflot,24.02.22,350-941,
,,,RA-73156,Aeroflot rr,12.03.22,,C
467.0,,F-WWTW,,Qatar AW,,350-1041,
468.0,18.11.20,"F-WZGL, F-WJKN, D-AGVT",10+01,German AF,17.11.22,350-941,C
469.0,05.03.21,F-WZFX,9V-SHU,Singapore AL,02.04.21,350-941,C
470.0,30.03.21,"F-WZFF, B-005T",B-324W,China Eastern AL,24.11.21,350-941,C
471.0,15.02.22,F-WZGB,TC-LGK,THY Turkish AL,02.08.22,350-941,C
472.0,20.05.21,F-WZFL,9V-SJB,Singapore AL,25.06.21,350-941,C
473.0,21.06.21,F-WZNC,G-XWBI,British AW,26.03.22,350-1041,C
474.0,25.02.21,F-WZNM,B-322Y,Air China,30.04.21,350-941,C
475.0,02.03.21,F-WZFM,9H-SHV,Singapore AL,02.04.21,350-941,C
476.0,23.11.20,F-WZNB,JA08XJ,Japan AL,21.12.20,350-941,C
477.0,,,,Qatar AW,,350-1041,
478.0,16.06.21,F-WZFK,B-324S,China Southern AL,29.12.21,350-941,C
479.0,02.02.21,F-WWAW,F-HTYG,Air France,22.03.21,350-941,C
480.0,20.09.22,F-WZGN,B-58501,Starlux AL,28.10.22,350-941,C
481.0,15.03.21,F-WZFD,B-322Z,Air China,30.04.21,350-941,C
482.0,04.05.21,F-WZNI,F-HTOO,Air Caraibes Atlantique,04.06.21,350-1041,C
483.0,22.10.21,F-WZFO,EC-NSC,Iberia,23.02.22,350-941,C
484.0,17.02.21,F-WZNV,SE-RSE,SAS,26.03.21,350-941,C
485.0,09.12.21,F-WZFQ,9V-SHW,Singapore AL,07.01.22,350-941,C
486.0,,,,Qatar AW,,350-1041,
487.0,14.12.21,"F-WZNF, B-005N",B-329K,Air China,28.07.22,350-941,C
488.0,25.02.21,F-WZGR,F-HTYH,Air France,06.04.21,350-941,C
489.0,22.04.21,"F-WZGA, B-005U",B-324X,China Eastern AL,23.02.22,350-941,C
490.0,19.01.22,F-WWXL,G-XWBJ,British AW,01.03.22,350-1041,C
491.0,19.03.21,F-WZGV,F-HTYI,Air France,30.04.21,350-941,C
492.0,31.08.21,F-WZGM,G-VEVE,Virgin Atlantic AW,02.12.21,350-1041,C
493.0,04.04.22,F-WZGY,TC-LGL,THY Turkish AL,02.08.22,350-941,C
494.0,11.03.22,F-WZFV,9V-SHY,Singapore AL,08.04.22,350-941,C
495.0,27.01.22,F-WZGE,G-XWBK,British AW,10.03.22,350-1041,C
496.0,14.01.22,F-WZHJ,TC-LGF,THY Turkish AL,18.02.22,350-941,C
497.0,09.04.21,F-WZNO,JA09XJ,Japan AL,14.06.21,350-941,C
498.0,,,,Aeroflot,,350-941,
499.0,29.04.21,F-WZGQ,SE-RSF,SAS,22.06.21,350-941,C
500.0,18.05.21,F-WZGF,F-HTYJ,Air France,06.07.21,350-941,C
501.0,,,,Qatar AW,,350-1041,
502.0,14.05.21,F-WZFC,F-HTYK,Air France,14.06.21,350-941,C
503.0,25.07.22,F-WZNM,B-LXP,Cathay Pacific AL,20.09.22,350-1041,C
504.0,23.02.22,"F-WZGR, B-005M",B-32AL,Air China,20.10.22,350-941,C
505.0,21.10.21,"F-WZNU, B-005V",B-329E,China Eastern AL,18.08.22,350-941,C
506.0,14.02.22,F-WZNZ,B-329S,China Southern AL,13.08.22,350-941,C
507.0,22.02.22,F-WZFU,G-VLIB,Virgin Atlantic AW,27.04.22,350-1041,C
508.0,,,,Aeroflot,,350-941,
509.0,26.08.22,F-WZGO,B-LXQ,Cathay Pacific AL,29.10.22,350-1041,C
510.0,08.07.21,F-WWDW,F-HTYL,Air France,10.12.21,350-941,C
511.0,,,,China Eastern AL,,350-941,
512.0,30.03.22,"F-WZFD, B-005S",B-32AV,China Southern AL,22.10.22,350-941,C
513.0,,F-WZNA,G-VBOB,Virgin Atlantic AW,,350-1041,
514.0,,,,Singapore AL,,350-941,
515.0,,,,Qatar AW,,350-1041,
516.0,06.10.21,F-WZGW,OH-LWS,Finnair,29.12.21,350-941,C
517.0,12.05.21,"F-WZFI, B-005R",B-326Y,Air China,29.12.21,350-941,C
518.0,,,,Aeroflot,,350-941,
519.0,,,,Qatar AW,,350-1041,
520.0,15.09.21,F-WZGS,F-HTYM,Air France,07.01.22,350-941,C
521.0,,,G-VNVR,Virgin Atlantic AW,,350-1041,
522.0,,,,Asiana AL,,350-941,
523.0,,,,Aeroflot,,350-941,
524.0,03.09.21,F-WZFH,ET-AYM,Ethiopian AL,03.12.21,350-941,C
525.0,,,,Singapore AL,,350-941,
526.0,24.09.21,"F-WZHF, D-AGAF",10+02,German Air Force,25.10.21,350-941,C
527.0,,,B-LXR,Cathay Pacific AL,,350-1041,
528.0,09.07.21,"F-WZNT, B-005W",B-327V,Air China,12.03.22,350-941,C
529.0,,,,Aeroflot,,350-941,
530.0,23.12.21,F-WZHH,N516DN,Delta AL,25.01.22,350-941,C
531.0,08.07.21,F-WZGX,JA10XJ,Japan AL,17.08.21,350-941,C
532.0,,,TC-LGG,THY Turkish AL,,350-941,
533.0,03.09.21,F-WZNK,F-HSIS,Air Caraibes,15.12.21,350-941,C
534.0,,,,World2fly,,350-941,
535.0,27.07.21,F-WZGD,JA11XJ,Japan AL,11.09.21,350-941,C
536.0,03.08.21,F-WZHG,JA12XJ,Japan AL,01.10.21,350-941,C
537.0,25.08.21,"F-WZNG, B-005Q",B-328Q,Air China,06.07.22,350-941,C
538.0,20.09.21,F-WZFS,JA13XJ,Japan AL,10.11.21,350-941,C
539.0,15.10.21,F-WZNN,F-HMIX,French Bee,16.12.21,350-1041,C
540.0,03.02.22,"F-WWAW, B-005P",B-32A8,China Eastern AL,01.11.22,350-941,C
541.0,22.11.21,F-WZHK,JA14XJ,Japan AL,18.12.21,350-941,C
542.0,21.10.21,F-WZHD,ET-AYN,Ethiopian AL,10.12.21,350-941,C
543.0,14.01.22,F-WZNL,JA15XJ,Japan AL,16.02.22,350-941,C
544.0,13.12.21,F-WZNB,F-HTYN,Air France,31.01.22,350-941,C
545.0,07.01.22,F-WZGZ,N517DZ,Delta AL,31.01.22,350-941,C
546.0,08.02.22,F-WZGC,F-HTYO,Air France,16.03.22,350-941,C
547.0,07.03.22,F-WZFX,G-XWBL,British AW,29.04.22,350-1041,C
548.0,24.02.22,F-WZFM,F-HTYP,Air France,12.04.22,350-941,C
549.0,30.05.22,F-WZNV,EC-NVR,Iberia,09.09.22,350-941,C
550.0,01.12.21,F-WZNA,B-325J,Sichuan AL,06.12.22,350-941,C
551.0,25.03.22,F-WZNX,F-HTYQ,Air France,10.05.22,350-941,C
552.0,17.03.22,F-WZGV,JA16XJ,Japan AL,24.04.22,350-941,C
553.0,,F-WZGK,,Starlux AL,,350-941,
554.0,,F-WZFZ,VP-BYG,Aeroflot ntu,,350-941,
555.0,,,,Starlux AL,,350-941,
556.0,30.11.22,F-WZFG,EC-NXC,Iberia,,350-941,
557.0,07.11.22,F-WZNI,B-58502,Starlux AL,,350-941,
558.0,,F-WZFN,VP-BYX,Aeroflot ntu,,350-941,
559.0,26.04.22,F-WZFR,EC-NTB,World2fly,03.06.22,350-941,C
560.0,20.05.22,F-WZHI,F-HMIB,French Bee,09.12.22,350-1041,C
561.0,16.05.22,F-WZNQ,,China Eastern AL,,350-941,
562.0,20.05.22,F-WZGQ,F-HTYR,Air France,29.06.22,350-941,C
563.0,22.07.22,F-WZNE,G-XWBM,British AW,26.08.22,350-1041,C
564.0,07.06.22,F-WZNP,9V-SJC,Singapore AL,28.06.22,350-941,C
565.0,15.06.22,F-WZFL,TC-LGG,THY Turkish AL,06.07.22,350-941,C
566.0,,,,,,350-941,
567.0,01.09.22,F-WZGD,EC-NXD,Iberia,29.09.22,350-941,C
568.0,04.07.22,F-WZFW,,China Southern AL,,350-941,
569.0,06.07.22,F-WZGF,9V-SJD,Singapore AL,20.08.22,350-941,C
570.0,09.06.22,F-WZFC,B-32AS,Air China,,350-941,
571.0,26.10.22,F-WZNS,B-32AG,Sichuan AL,,350-941,
572.0,,F-WZGX,B-32CA,Air China,,350-941,
573.0,12.07.22,F-WZHE,,China Eastern AL,,350-941,
574.0,28.09.22,F-WZHG,B-32CE,Air China,,350-941,
575.0,,F-WZHF,,Air China,,350-941,
576.0,09.08.22,F-WZFS,F-HTYS,Air France,30.09.22,350-941,C
577.0,04.10.22,F-WZGM,,China Eastern AL,,350-941,
578.0,27.09.22,F-WWDW,F-HTYT,Air France,25.11.22,350-941,C
579.0,17.10.22,F-WZFH,EC-NXE,Iberia,28.11.22,350-941,C
580.0,29.09.22,F-WZHD,N518DZ,Delta AL,22.11.22,350-941,C
581.0,,F-WZNK,,Air China,,350-941,
582.0,24.10.22,F-WZNN,ET-AZI,Ethiopian AL,18.11.22,350-941,C
583.0,08.11.22,F-WZHK,B-32CR,China Southern AL,30.11.22,350-941,C
584.0,16.11.22,F-WZGS,B-LXR,Cathay Pacific AL,,350-1041,
585.0,,F-WZGT,,Aeroflot,,350-941,
586.0,,,,x,,350-941,
587.0,28.11.22,F-WZFI,,Air China,,350-941,
588.0,24.11.22,F-WZFK,N519DZ,Delta AL,,350-941,
589.0,,,,China Southern AL,,350-941,
590.0,,F-WZFQ,D-AIXR,Lufthansa,,350-941,
591.0,,F-WZGW,,China Eastern AL,,350-941,
592.0,,,,Asiana AL,,350-941,
593.0,,F-WZNB,,Starlux AL,,350-941,
594.0,,,,China Eastern AL,,350-941,
595.0,,F-WZNL,,Air China,,350-941,
596.0,,,,THY Turkish AL,,350-941,
597.0,,,,Asiana AL,,350-941,
598.0,,,,China Southern AL,,350-941,
599.0,,,,Singapore AL,,350-941,
600.0,10.11.22,F-WZFF,,Air Caraibes (?),,350-1041,
601.0,,,,China Southern AL,,350-941,
602.0,,,,Asiana AL,,350-941,
603.0,,,,Air France,,350-941,
604.0,,,,Air China,,350-941,
605.0,,,,Virgin Atlantic AL,,350-1041,
606.0,,,,British AW,,350-941,
607.0,,,,China Eastern AL,,350-941,
608.0,,,,x,,,
609.0,,,,British AW,,350-1041,
610.0,,,,Japan AL,,350-1041,
611.0,,,,Ethiopian AL,,350-941,
612.0,,,,Air France,,350-941,
613.0,,,EC-NZF,World2fly,,350-941,
614.0,,,,Air China,,350-941,
615.0,,,B-LXS,Cathay Pacific AL,,350-1041,
616.0,,,,Air France,,350-941,
617.0,,,G-XWBO,British AW,,350-1041,
618.0,,,,THY Turkish AL,,350-941,
619.0,,,,China Southern AL,,350-941,
620.0,,,,Starlux AL,,350-941,
621.0,,,,THY Turkish AL,,350-941,
622.0,,,,Iberia,,350-941,
623.0,,,G-XWBP,British AW,,350-1041,
624.0,,,,China Eastern AL,,350-941,
625.0,,,,China Southern AL,,350-941,
626.0,,,,China Southern AL,,350-941,
627.0,,,,Air France,,350-941,
628.0,,,,Japan AL,,350-,
629.0,,,,Singapore AL,,350-941,
630.0,,,,Starlux AL,,350-941,
631.0,,,,Sichuan AL,,350-941,
632.0,,,,Air China,,350-941,
633.0,,,,Air France,,350-941,
634.0,,,,Iberia,,350-941,
635.0,,,,Japan AL,,350-1041,
636.0,,,D-AIXS,Lufthansa,,350-941,
637.0,,,D-AIXT,Lufthansa,,350-941,
638.0,,,,THY Turkish AL,,350-941,
639.0,,,,British AW,,350-1041,
640.0,,,,Air France,,350-941,
641.0,,,,Sichuan AL,,350-941,
642.0,,,D-AIXU,Lufthansa,,350-941,
651.0,,,,THY Turkish AL,,350-941,
654.0,,,,Delta AL,,350-941,
661.0,,,,Qantas,,350.0,
662.0,,,,Japan AL,,350-1041,
677.0,,,,Qantas,,350.0,
704.0,,,,Airbus Freighter proto,,350F,
707.0,,,,Qantas,,350-1041,
714.0,,,,Etihad AW,,350-1041,
719.0,,,,CMA-CGM,,350F,
722.0,,,,CMA-CGM,,350F,
734.0,,,,Singapore AL,,350F,
