,c/n,f/f_year,operator,type,St
1,30.0,93,Air Inter ,330,
2,37.0,93,Air Inter ,330,
3,45.0,94,Air Inter ,330,
4,50.0,94,Thai AW Int ,330,STD
5,54.0,94,Aer Lingus lsd,330,
6,55.0,94,Aer Lingus lsd,330,
7,59.0,94,Air Inter ,330,
8,60.0,94,Thai AW Int ,330,SCR
9,62.0,94,Thai AW Int ,330,SCR
10,64.0,94,Thai AW Int ,330,SCR
11,65.0,95,Thai AW Int ,330,SCR
12,66.0,95,Thai AW Int ,330,STD
13,67.0,95,Malaysian AS,330,SCR
14,68.0,94,Malaysian AS,330,W/O
15,69.0,94,Malaysian AS,330,SCR
16,70.0,94,Aer Lingus lsd,330,
17,71.0,94,Cathay Pacific,330,
18,72.0,95,LTU lsd,330,
19,73.0,95,Malaysian AS,330,SCR
20,77.0,95,Malaysian AS,330,SCR
21,82.0,94,LTU Int'l AW lsd,330,
22,83.0,95,Cathay Pacific,330,
23,86.0,94,Aer Lingus,330,
24,87.0,95,LTU lsd,330,
25,95.0,95,LTU lsd,330,
26,96.0,95,Malaysian AS lsd,330,
27,98.0,95,Dragonair lsd,330,
28,99.0,95,Cathay Pacific,330,
29,100.0,95,Malaysian AS,330,SCR
30,102.0,95,Cathay Pacific,330,
31,106.0,95,Dragonair lsd,330,
32,107.0,95,Malaysian AS,330,SCR
33,109.0,95,Cathay Pacific,330,
34,110.0,95,Malaysian AS,330,SCR
35,111.0,95,Dragonair lsd,330,
36,112.0,95,Thai AW Int ,330,STD
37,113.0,95,Cathay Pacific,330,
38,116.0,95,Malaysian AS,330,
39,118.0,95,Cathay Pacific,330,
40,119.0,95,Malaysian AS,330,SCR
41,120.0,96,LTU Int'l AW,330,
42,121.0,95,Cathay Pacific,330,
43,122.0,95,Thai AW Int ,330,STD
44,127.0,96,LTU Int'l AW,330,
45,132.0,96,Cathay Pacific,330,
46,138.0,96,Garuda,330,C
47,140.0,96,Garuda Indonesian AW,330,C
48,143.0,96,Malaysian AS lsd,330,
49,144.0,97,Garuda Indonesian AW,330,C
50,148.0,97,Garuda,330,C
51,153.0,97,Garuda Indonesian AW,330,C
52,155.0,96,Cathay Pacific,330,
53,162.0,97,Korean Air,330,C
54,165.0,97,Garuda,330,C
55,171.0,97,LTU ,330,
56,172.0,97,Korean Air,330,C
57,177.0,97,Dragonair lsd,330,
58,181.0,97,PROTO 330-200 #1,330,
59,183.0,97,Philippine AL ,330,
60,184.0,97,Philippine AL ,330,
61,188.0,97,Philippine AL ,330,
62,189.0,97,Philippine AL ,330,
63,191.0,97,Philippine AL ,330,
64,195.0,97,PROTO 330-200 #2,330,
65,198.0,97,Philippine AL ,330,
66,200.0,97,Philippine AL ,330,
67,203.0,98,Philippine AL ,330,
68,205.0,98,Canada 3000 lsd,330,
69,206.0,98,Korean Air,330,
70,209.0,98,Thai AW Int ,330,
71,211.0,98,Canada 3000,330,
72,219.0,98,Korean Air,330,W/O
73,222.0,98,Korean Air,330,
74,223.0,98,Austrian AL ,330,
75,224.0,98,Thai AW Int ,330,SCR
76,226.0,98,Korean Air,330,
77,229.0,98,Swissair,330,
78,230.0,98,Sabena,330,
79,231.0,98,Thai AW Int ,330,
80,232.0,98,TAM Brazil lsd,330,
81,234.0,98,Dragonair ,330,
82,238.0,98,TAM Brazil lsd,330,
83,241.0,98,Korean Air,330,C
84,244.0,98,Cathay Pacific,330,
85,247.0,98,TAM Brazil lsd,330,SCR
86,248.0,98,Emirates AL ,330,
87,249.0,98,Swissair,330,
88,250.0,99,Air Transat lsd,330,
89,251.0,99,Emirates AL,330,
90,253.0,99,Swissair lsd,330,
91,254.0,99,Airtours International,330,
92,255.0,99,Swissair lsd,330,
93,256.0,99,Korean Air,330,C
94,258.0,99,Korean Air,330,
95,259.0,99,TAM Brazil,330,
96,261.0,99,Monarch AL,330,
97,262.0,99,Swissair lsd,330,
98,265.0,99,Monarch AL,330,
99,266.0,99,Airtours International,330,
100,267.0,99,Korean Air,330,C
101,269.0,99,Aer Lingus,330,
102,271.0,99,Air Transat lsd,330,
103,272.0,99,Canada 3000 lsd,330,
104,275.0,99,Swissair,330,
105,276.0,99,Gulf Air,330,
106,277.0,99,Air Canada,330,C
107,279.0,99,Air Canada,330,C
108,281.0,99,Gulf Air,330,
109,283.0,99,Emirates AL,330,
110,284.0,99,Air Canada,330,C
111,285.0,99,Corsair,330,C
112,286.0,99,Gulf Air,330,
113,287.0,99,Gulf Air,330,
114,288.0,99,Swissair,330,
115,290.0,99,Sabena lsd,330,
116,291.0,99,Swissair,330,
117,293.0,99,Emirates AL,330,
118,294.0,99,Swissair lsd,330,
119,295.0,99,Emirates AL,330,
120,296.0,99,Sabena lsd,330,
121,299.0,99,Swissair,330,
122,300.0,99,Sabena lsd,330,
123,301.0,99,Airtours International,330,
124,303.0,99,Srilankan AL,330,C
125,305.0,99,Flightlease,330,
126,306.0,99,Srilankan AL,330,C
127,308.0,99,Swissair,330,
128,309.0,99,Airtours International,330,
129,311.0,99,Srilankan AL,330,C
130,312.0,99,Swissair,330,
131,313.0,99,Srilankan AL,330,
132,314.0,99,Emirates AL,330,
133,315.0,00,US AW,330,
134,316.0,00,Emirates AL,330,
135,317.0,99,Austrian AL lsd,330,
136,320.0,00,Corsair,330,SCR
137,322.0,00,Sabena,330,
138,323.0,00,US AW,330,
139,324.0,00,Sabena,330,
140,326.0,00,Emirates AL,330,
141,328.0,00,Emirates AL,330,
142,330.0,00,Aer Lingus lsd,330,
143,333.0,00,US AW lsd,330,
144,334.0,00,Gulf Air,330,
145,336.0,00,Srilankan AL,330,W/O
146,337.0,00,US AW lsd,330,
147,338.0,00,Korean Air,330,C
148,339.0,00,Canada 3000 lsd,330,
149,340.0,00,Gulf Air,330,
150,341.0,00,Srilankan AL,330,W/O
151,342.0,00,US AW lsd,330,
152,343.0,00,Swissair,330,
153,344.0,00,Air Canada,330,C
154,345.0,00,Emirates AL,330,
155,346.0,00,Thai AW Int,330,STD
156,348.0,00,Emirates AL,330,
157,349.0,00,Airtours/Premiair,330,
158,350.0,00,Korean Air,330,C
159,351.0,00,Korean Air,330,C
160,353.0,00,Fll/Novair AL,330,
161,356.0,00,Airtours/Premiair,330,
162,357.0,00,Airtours/Premiair,330,
163,358.0,00,Air Afrique lsd,330,
164,361.0,00,TAM Brasil,330,
165,362.0,00,Novair AL lsd ,330,
166,364.0,00,Air Afrique lsd,330,
167,365.0,00,Emirates AL,330,
168,366.0,00,Swissair,330,
169,368.0,00,Korean Air,330,C
170,369.0,00,Edelweiss Air lsd,330,
171,370.0,00,US AW lsd,330,
172,372.0,00,Emirates AL,330,
173,375.0,00,US AW lsd,330,
174,380.0,01,US AW,330,
175,382.0,01,Emirates AL,330,SCR
176,384.0,00,Emirates AL,330,SCR
177,386.0,01,Cathay Pacific,330,
178,388.0,01,US AW,330,
179,389.0,01,Cathay Pacific,330,
180,392.0,01,Emirates AL,330,
181,393.0,01,Cathay Pacific,330,
182,396.0,01,Emirates AL,330,
183,397.0,01,Aer Lingus,330,
184,398.0,01,bmi British Midland,330,
185,400.0,01,Air Canada,330,C
186,401.0,01,bmi British Midland,330,
187,403.0,01,LTU Int'l AW,330,
188,404.0,01,bmi British Midland lsd,330,
189,405.0,01,Dragonair,330,
190,407.0,01,Dragonair lsd,330,
191,408.0,01,Air Canada,330,C
192,409.0,01,Emirates AL,330,
193,412.0,01,Air Canada,330,C
194,418.0,01,Cathay Pacific AW,330,C
195,419.0,01,Air Canada,330,C
196,420.0,01,Cathay Pacific AW,330,C
197,421.0,01,Cathay Pacific AW,330,C
198,422.0,01,Air France lsd,330,C
199,423.0,01,Cathay Pacific AW,330,C
200,425.0,01,Korean Air,330,
201,427.0,01,JMC AL lsd,330,
202,428.0,01,Korean Air,330,C
203,432.0,01,LTU Int'l AW lsd,330,
204,437.0,01,Emirates AL,330,
205,439.0,01,Cathay Pacific AW,330,
206,441.0,01,Qatar AW,330,
207,443.0,01,Air France,330,C
208,444.0,02,LTU Int'l AW lsd,330,
209,448.0,02,Air France lsd,330,C
210,451.0,02,Emirates AL,330,
211,452.0,02,Emirates AL,330,
212,454.0,02,LTU Int'l AW lsd,330,
213,455.0,03,Emirates AL,330,
214,456.0,02,JMC AL lsd,330,
215,458.0,02,Air France lsd,330,C
216,461.0,02,Iberworld lsd,330,
217,462.0,02,Emirates AL lsd,330,
218,463.0,02,Volare AL lsd,330,
219,465.0,02,Air France lsd,330,C
220,466.0,02,TAM lsd,330,
221,469.0,02,LTU Int'l AW lsd,330,
222,472.0,02,TAM lsd,330,
223,473.0,02,Qatar AW,330,
224,476.0,02,LTU Int'l AW lsd,330,
225,477.0,02,TAM lsd,330,
226,479.0,02,Dragonair,330,
227,480.0,02,Air Transat lsd,330,
228,481.0,02,Air France lsd,330,C
229,484.0,02,Korean Air,330,C
230,486.0,02,TAM lsd,330,
231,487.0,02,Qatar AW,330,C
232,490.0,02,Korean Air,330,C
233,493.0,02,LTU Int'l AW lsd,330,
234,494.0,02,Emirates AL,330,
235,496.0,02,SAS lsd,330,
236,497.0,02,SAS lsd,330,
237,498.0,02,Air France,330,C
238,500.0,02,Air France lsd,330,C
239,501.0,02,Star AL lsd,330,
240,502.0,02,Air France lsd,330,C
241,503.0,02,Air France lsd,330,C
242,504.0,02,Volare AL lsd,330,
243,505.0,02,Cyprus AW lsd,330,
244,506.0,03,Qantas,330,
245,507.0,02,Air Caledonie Int'l,330,
246,508.0,02,Qantas,330,
247,509.0,02,Emirates AL,330,
248,510.0,02,Air Caledonie Int'l,330,
249,511.0,03,Qatar AW,330,
250,512.0,02,Dragonair,330,
251,513.0,03,Qantas,330,
252,515.0,03,SAS lsd,330,
253,516.0,03,Air France lsd,330,C
254,519.0,03,Air France lsd,330,C
255,521.0,03,Qatar AW,330,
256,522.0,02,Qantas,330,
257,524.0,03,Northwest AL,330,
258,525.0,03,Emirates AL,330,
259,526.0,03,Cyprus AW lsd,330,
260,527.0,03,MEA-Middle East AL lsd,330,
261,529.0,03,MEA-Middle East AL lsd,330,
262,530.0,03,EVA Air lsd,330,
263,532.0,03,MEA-Middle East AL lsd,330,
264,533.0,03,Northwest AL,330,C
265,535.0,03,EVA Air lsd,330,
266,536.0,03,Emirates AL,330,
267,539.0,03,Cathay Pacific AW,330,C
268,542.0,03,Northwest AL,330,
269,548.0,03,Cathay Pacific AW,330,C
270,549.0,03,Northwest AL,330,
271,550.0,03,Korean AL,330,C
272,551.0,03,Livingston AL lsd,330,
273,552.0,03,Northwest AL,330,
274,553.0,03,Qantas,330,C
275,555.0,03,EVA AW lsd,330,
276,558.0,03,Qantas,330,C
277,564.0,03,Qantas,330,C
278,565.0,03,Cathay Pacific AW,330,C
279,567.0,04,Air France,330,C
280,568.0,03,SAS lsd,330,
281,570.0,04,Lufthansa,330,
282,571.0,04,Qatar AW,330,
283,573.0,04,EVA AW lsd,330,
284,574.0,04,Qantas,330,C
285,576.0,04,Lufthansa,330,
286,578.0,04,Northwest AL,330,
287,579.0,04,Lufthansa,330,
288,581.0,04,Dragonair lsd,330,
289,584.0,04,Air France lsd,330,C
290,587.0,04,EVA AW lsd,330,
291,588.0,04,Northwest AL,330,
292,591.0,04,Northwest AL,330,
293,593.0,04,Qantas,330,C
294,595.0,04,Qantas,330,C
295,597.0,04,Livingston AL lsd,330,
296,602.0,04,China AL,330,C
297,603.0,04,Qantas,330,C
298,605.0,04,Qatar AW,330,
299,607.0,04,China AL,330,C
300,609.0,04,Northwest AL,330,
301,612.0,04,Qatar AW lsd,330,
302,614.0,04,Northwest AL,330,
303,616.0,04,Qatar AW lsd,330,
304,618.0,04,Northwest AL,330,
305,620.0,04,Northwest AL,330,
306,621.0,04,Northwest AL,330,
307,623.0,04,Qatar AW,330,
308,625.0,04,Yemenia AW lsd,330,
309,627.0,04,Livingston AL lsd,330,
310,629.0,04,Lufthansa,330,
311,631.0,04,Northwest AL,330,
312,632.0,04,Yemenia AW lsd,330,
313,633.0,04,Northwest AL,330,
314,634.0,04,EVA Air lsd,330,
315,635.0,04,Star AL lsd,330,
316,636.0,04,Lufthansa,330,
317,637.0,04,Qatar AW,330,STD
318,638.0,04,Qatar AW,330,
319,640.0,04,Asiana AL,330,C
320,641.0,04,China AL,330,C
321,642.0,04,Lufthansa,330,C
322,644.0,04,Air Algerie,330,C
323,645.0,04,Lufthansa,330,
324,647.0,05,Air Algerie,330,C
325,648.0,05,Lufthansa,330,
326,649.0,05,China Southern AL,330,C
327,650.0,05,Air Algerie,330,C
328,652.0,05,China Southern AL,330,C
329,653.0,05,Air Algerie,330,C
330,654.0,05,Dragonair lsd,330,
331,655.0,05,EVA Air lsd,330,
332,656.0,05,China Southern AL,330,C
333,657.0,05,Air France,330,C
334,658.0,05,Etihad AW lsd,330,STD
335,659.0,05,Qatar AW,330,
336,660.0,05,Air France,330,W/O
337,661.0,05,EVA Air lsd,330,
338,662.0,05,Dragonair lsd,330,
339,663.0,05,Northwest AL,330,
340,664.0,05,China Southern AL,330,C
341,665.0,05,Eurofly lsd,330,
342,666.0,05,Egyptair,330,C
343,667.0,05,Air Algerie,330,C
344,669.0,05,Cathay Pacific AL lsd,330,
345,670.0,05,Iberworld lsd,330,
346,671.0,05,China AL,330,C
347,673.0,05,Cathay Pacific AL lsd,330,
348,674.0,05,Northwest AL,330,
349,675.0,05,China AL,330,C
350,676.0,05,Asiana AL,330,C
351,678.0,05,EVA Air,330,C
352,679.0,05,Cathay Pacific AL lsd,330,
353,680.0,05,Qatar AW,330,C
354,682.0,05,KLM,330,C
355,683.0,05,Egyptair,330,C
356,684.0,05,Qatar AW lsd,330,
357,686.0,05,KLM,330,C
358,687.0,05,Lufthansa,330,C
359,688.0,05,Etihad AW lsd,330,STD
360,690.0,05,Northwest AL,330,
361,691.0,05,China AL,330,C
362,692.0,05,Dragonair lsd,330,
363,693.0,05,EVA Air,330,C
364,695.0,05,Qantas,330,C
365,696.0,05,Egyptair,330,
366,697.0,05,THY Turkish AL,330,C
367,699.0,05,China AL,330,C
368,700.0,05,TAM lsd,330,
369,701.0,05,Lufthansa,330,
370,703.0,05,KLM,330,C
371,704.0,05,THY Turkish AL,330,C
372,705.0,05,Qantas,330,C
373,707.0,05,China AL,330,C
374,708.0,05,Asiana AL,330,C
375,711.0,05,Qatar AW,330,C
376,712.0,05,Qantas,330,C
377,713.0,05,China Eastern AL,330,
378,714.0,05,China AL,330,C
379,716.0,05,Dragonair lsd,330,
380,717.0,06,Etihad AW,330,
381,718.0,06,Northwest AL,330,
382,720.0,05,China Eastern AL,330,
383,721.0,06,Qatar AW,330,C
384,722.0,06,Northwest AL,330,
385,724.0,06,Etihad AW,330,STD
386,725.0,06,China AL lsd,330,
387,726.0,06,Egyptair,330,C
388,728.0,06,China Eastern AL,330,
389,729.0,06,Etihad AW,330,STD
390,730.0,06,Etihad AW,330,STD
391,732.0,06,China Eastern AL,330,
392,733.0,06,Air Europa lsd,330,
393,734.0,06,Qatar AW,330,C
394,735.0,06,China Eastern AL,330,
395,737.0,06,Etihad AW,330,STD
396,738.0,06,KLM,330,C
397,739.0,06,LTU Int'l AW lsd,330,
398,741.0,06,Dragonair lsd,330,
399,742.0,06,THY Turkish AL,330,C
400,743.0,06,Qatar AW,330,C
401,745.0,06,Air Europa lsd,330,
402,746.0,06,Qatar AW,330,C
403,747.0,06,Royal Australian AF,330,
404,749.0,06,Air Europa lsd,330,
405,750.0,06,Air China,330,C
406,751.0,06,Jet AW lsd,330,
407,752.0,06,China AL,330,C
408,754.0,06,THY Turkish AL,330,C
409,755.0,06,EVA AW,330,C
410,756.0,06,Air China,330,C
411,758.0,06,Air Caraibes lsd,330,C
412,759.0,06,Air China,330,C
413,760.0,06,Qatar AW,330,
414,769.0,06,China AL,330,
415,770.0,06,KLM,330,C
416,772.0,06,Asiana AL,330,C
417,773.0,06,China Eastern AL lsd,330,
418,774.0,06,THY Turkish AL,330,C
419,776.0,06,Cathay Pacific AW lsd,330,C
420,777.0,06,China Eastern AL,330,
421,778.0,06,Northwest AL,330,
422,780.0,06,Air China,330,C
423,781.0,06,China Eastern AL,330,
424,782.0,06,China Eastern AL,330,
425,784.0,06,Northwest AL,330,
426,785.0,06,Air China,330,STD
427,786.0,06,Dragonair lsd,330,
428,788.0,06,Etihad AW,330,STD
429,789.0,06,Qatar AW,330,
430,791.0,06,China Eastern AL,330,
431,792.0,06,Qatar AW,330,C
432,795.0,06,Thomas Cook AL lsd,330,
433,796.0,06,Northwest AL,330,
434,797.0,06,Air China,330,C
435,799.0,06,Northwest AL,330,
436,801.0,06,KLM,330,C
437,802.0,06,Eurofly lsd,330,
438,803.0,06,Asiana AL,330,C
439,806.0,06,Northwest AL,330,
440,807.0,06,Jet AW lsd,330,
441,809.0,07,Etihad AW,330,STD
442,810.0,06,Air China,330,
443,811.0,06,KLM lsd,330,
444,813.0,06,Qatar AW,330,C
445,814.0,07,Air Europa lsd,330,
446,815.0,07,Air China,330,
447,817.0,07,Northwest AL,330,
448,818.0,07,China Southern AL,330,
449,819.0,07,KLM lsd,330,
450,820.0,07,Qatar AW,330,
451,821.0,07,China Eastern AL,330,C
452,822.0,07,Air Comet lsd,330,
453,823.0,07,China AL,330,C
454,824.0,07,Etihad AW,330,
455,825.0,07,Jet AW slsd,330,
456,826.0,07,Qatar AW,330,C
457,827.0,07,Northwest AL,330,
458,828.0,07,LTU Int'l AW lsd,330,
459,830.0,07,China Eastern AL,330,
460,831.0,07,Jet AW lsd,330,
461,832.0,07,Etihad AW,330,
462,833.0,07,Iberworld lsd,330,
463,834.0,07,KLM lsd,330,
464,836.0,07,China Eastern AL,330,C
465,838.0,07,China AL,330,C
466,839.0,07,Air China,330,C
467,840.0,07,China Southern AL,330,
468,841.0,07,Aer Lingus,330,C
469,842.0,07,Jetstar AW lsd,330,
470,843.0,07,Northwest AL,330,
471,845.0,07,Asiana AL,330,C
472,847.0,07,Aer Lingus,330,C
473,849.0,07,Qatar AW,330,C
474,850.0,07,Cathay Pacific AW,330,C
475,851.0,07,China Eastern AL,330,C
476,852.0,07,Etihad AW,330,
477,853.0,07,Jetstar AW lsd,330,
478,854.0,07,Etihad AW,330,
479,855.0,07,Cathay Pacific AW,330,C
480,857.0,07,Northwest AL,330,
481,858.0,07,Northwest AL,330,
482,859.0,07,Northwest AL,330,
483,860.0,07,Air China,330,C
484,861.0,07,China AL,330,C
485,863.0,07,Midroc Aviation,330,
486,865.0,07,Northwest AL,330,
487,867.0,07,Air China,330,C
488,868.0,07,Etihad AW,330,
489,869.0,07,TAM,330,
490,873.0,07,Air China,330,C
491,874.0,08,Kingfisher AL slsd,330,
492,875.0,07,Hainan AL lsd,330,C
493,876.0,07,TAM,330,
494,877.0,07,TAP Air Portugal,330,
495,879.0,07,China Southern AL,330,
496,881.0,07,Hainan AL lsd,330,C
497,882.0,07,Jet AW lsd,330,
498,883.0,07,Air Mauritius,330,
499,884.0,07,Air China,330,C
500,885.0,07,Jet AW lsd,330,
501,887.0,07,Qantas,330,C
502,888.0,07,Jet AW lsd,330,
503,889.0,07,China Southern AL,330,
504,890.0,07,Air China,330,C
505,891.0,08,Kingfisher AL lsd,330,
506,892.0,07,Qantas lsd,330,
507,893.0,07,Qatar AW,330,
508,895.0,07,Cathay Pacific AW lsd,330,
509,896.0,08,Lufthansa,330,C
510,898.0,08,Qantas lsd,330,
511,899.0,08,TAP Air Portugal,330,
512,900.0,08,KLM lsd,330,
513,901.0,08,Jet AW lsd,330,
514,903.0,08,Air China,330,C
515,904.0,08,TAP Air Portugal,330,STD
516,905.0,08,Lufthansa,330,C
517,906.0,08,Hainan AL lsd,330,C
518,907.0,08,Qatar AW,330,C
519,908.0,08,China Southern AL,330,
520,909.0,08,Air China,330,C
521,911.0,08,Air Berlin,330,
522,913.0,08,Lufthansa,330,C
523,914.0,08,TAP Air Portugal,330,C
524,915.0,08,Cathay Pacific AW lsd,330,
525,916.0,08,China Eastern AL,330,C
526,918.0,08,Qatar AW,330,C
